,restaurant_name,googleMap_review_point,googleMap_review_count,address
83,매덕스 피자 이태원점,4.3,820,용산구 이태원로26길 26
84,홍대 맛집 육몽 홍대본점 | Korean bbq yukmong hongdae,4.7,1014,마포구 양화로16길 19
85,수림식당 홍대점,4.9,249,마포구 와우산로21길 19-19
86,고집132 성수본점,4.6,236,성동구 왕십리로8길 5 대영빌딩 1층
87,서울로인 서울숲점,4.6,156,서울 성동구 서울숲2길 32-14 203-2호 갤러리아포레상가 102동 2층
88,타코마이너,4.6,77,성동구 연무장길 39-13 2층
89,굴마을낙지촌 이태원점,4.6,45,용산구 이태원로 134
90,미분당 홍대점,4.5,287,마포구 서강로9길 59
91,바오서울 성수,4.8,224,성동구 연무장길 110 1층 103호
92,서울맛집,4.4,245,성동구 성덕정15길 6-9
93,서양면옥 연남점 / Western Noodle House Yeonnam Branch / 西洋面屋 延南店 / 西洋麺屋 延南店,4.9,277,마포구 연남동 연희로1길 43
94,페이퍼 플레이트,4.7,109,성동구 성수이로14길 15
95,오라방 즉석떡볶이 이태원점,5.0,3,용산구 이태원제1동 119-16
96,홍대율촌,4.5,103,마포구 와우산로 100
97,카이화,4.7,106,마포구 독막로 73 2 층
98,평이담백 뼈칼국수 성수점,4.3,225,성동구 성수1가제2동 13-110
99,멕시카고 타코23,4.8,28,마포구 상수동 313-2 2층
100,바스버거 성수점,4.6,465,성동구 성수동1가 왕십리로8길 16
101,솔솥 연남점,4.1,317,마포구 동교로38길 35
102,소바마에,4.3,74,성동구 왕십리로4길 26-20
103,성수 맛집 사위식당 성수 | Korean Restaurant Sawee Restaurant Seongsu Branch | 韓国料理 サウィ食堂 聖水点,4.6,23,성동구 연무장5길 9-16 블루스톤타워 지하 1층 B102호
104,성덕바오,4.9,13,용산구 녹사평대로40길 63
105,세스크멘슬,4.6,378,성동구 성수이로14길 7
106,침스버거 안국점,4.8,187,종로구 북촌로 14-2
107,인사동 맛집 장수하늘소 | Jongro Korean BBQ Restaurants | Jangsu Sky Beef | 仁寺洞グルメ | 焼肉グルメ | korean barbeque in seoul,4.9,612,종로구 인사동길 34-1
108,이태원 고기집 텅앤그루브조인트 | Itaewon korean bbq Tongue&Groove joint | サムギョプサル 焼肉 | 五花肉 烤肉,4.4,638,용산구 보광로60길 7
109,봉밀가 서울숲점,4.7,47,성동구 왕십리로 50 2층
110,가가호호 성수점,4.5,30,성동구 성수동2가 333-118
111,오띠젤리,4.7,70,용산구 녹사평대로 168-6
112,도원,4.9,13,마포구 월드컵북로5가길 34
113,해피치즈스마일 연남점,4.6,194,마포구 연남동 동교로 244-1 2층
114,자성당,4.8,18,용산구 이태원동 130-8번지 1층
115,연남동 맛집 느루 | hongdae restaurant neuroo yeonnam,4.5,31,마포구 연남동 260-52
116,문화식당 성수점,4.4,235,성동구 성수일로4길 45 2층
117,연하동,4.8,822,마포구 연남로 6
118,산해장,4.8,20,용산구 이태원로 138
119,향미,4.6,91,마포구 홍익로 3-24
120,더스테이크 쥬벤쿠바,4.8,21,마포구 연남동 390-26
121,아노브 피자 이태원점,4.5,220,용산구 이태원로20가길 7-5
122,홍대 맛집 핌피 l Hongdae restaurant l レストラン l グルメ l 居酒屋,4.9,34,마포구 서교동 409-9 KR 서울특별시 마포구 서울 마포구 와우산로15길 24 1 2층
123,1988 곰면옥,4.6,46,마포구 연남동 504-1
124,죠죠 연남점,4.9,231,마포구 연남동 229-51
125,솔트빵,5.0,42,마포구 동교로39길 10
126,스테이크 하우스,4.5,261,용산구 소월로 322
127,팜티진 쌀국수,4.3,667,성동구 왕십리로 58
128,레이몬드 홍대 RAYMOND HONGDAE,4.9,114,동교동 168-7 KR 서울특별시 마포구 서울특별시 마포구 양화로 18안길15 1층
129,산카레,4.5,41,용산구 이태원로54길 58-5
130,아웃오브오더,5.0,194,성동구 아차산로13길 2 2층
131,포포야어묵,4.5,63,마포구 연남동 561-2
132,이태원 맛집 피자브루클린 이태원 | Itaewon Restaurant Pizza Brooklyn Itaewon | グルメ ピッツァブルックリン イテウォン,5.0,72,용산구 녹사평대로26길 91-1 1층
133,숨 라이스바,4.3,12,용산구 이태원로54길 58-18 1층
134,대낚식당 성수점 | 성수 맛집 | Seongsu Restaurants | Daenakk Restaurant,4.6,114,성동구 연무장길 39-21 1층
135,갓잇 연남점,4.4,113,마포구 연남동 240-2
136,저스트단비 크레페 홍대점,4.9,121,마포구 잔다리로6길 30 1층
137,호호식당 성수점,3.9,467,성동구 성수동1가 서울숲4길 25
138,르프리크 성수,4.5,382,성동구 연무장5길 9-16
139,라멘트럭 상수본점,4.3,695,마포구 독막로14길 31
140,카와카츠,4.5,578,마포구 동교로 126
141,온량,4.3,413,성동구 서울숲4길 26-10
142,오우 연남점,4.3,300,마포구 월드컵북로6길 26 1층 오우
143,Pizzeria o Gyeonglidangil(핏제리아오 경리단길점),4.9,260,용산구 3층
144,양식구옥(yangsikguok),4.7,21,마포구 연남동 390 25번지 2층
145,홍대씨부엉,4.8,223,마포구 와우산로21길 28-6
146,도트블랭킷,4.6,286,종로구 윤보선길 22
147,로이로이,4.6,31,마포구 연남동 382-27
148,파스타고 홍대 PASTAGO,5.0,121,마포구 와우산로33길 12
149,구스토타코,4.4,1148,마포구 와우산로 41
150,미오 도쿄 다이닝,4.4,35,성동구 연무장5가길 7 현대 테라스타워 1층 117호
151,꾸잉,4.3,381,용산구 이태원로 189
152,월량관,4.4,133,마포구 동교로46길 10
153,랑빠스81,4.2,264,마포구 동교로30길 17-1
154,누메로도스,4.3,402,성동구 상원1길 35-9
155,민정식당 서울숲직영점 Minjeong Restaurant Seoul Forest Branch,4.1,148,성동구 성수동1가 2동 656 387
156,옹플뢰르,4.4,62,용산구 회나무로44길 52
157,은빛물결황금낙지,4.4,40,성수동2가 565-15번지 성동구 서울특별시 KR
158,앙심품은도야지,4.8,9,성수동2가 347-2번지 성동구 서울특별시 KR
159,숲길정육점,4.6,74,마포구 동교로 256
