restaurant_code,address,restaurant_name,restaurant_class,menu_tag,blue_ribbon_count,red_ribbon_count,restaurant_review_count,restaurant_review_point,naver_blog_count,restaurant_size
183,"서울특별시 마포구 동교로 248-1 (연남동)",발리문,,인도네시아식,0,0,0,0,0,0
184,"서울특별시 마포구 연희로1길 40-3 (동교동) 1층",서담헌,,일반중식,0,0,0,0,0,0
185,"서울특별시 마포구 동교로 242 (연남동) 2층",호커보이,,아시아식,0,0,0,0,0,0
186,"서울특별시 마포구 동교로46길 24-4 (연남동) 1층",모닥불,,그릴,0,0,0,0,0,0
187,"서울특별시 마포구 연희로1길 41 (연남동) 예일빌라 102호",리틀빅토리,,"구움과자,베이커리",0,0,0,0,0,0
188,"서울특별시 마포구 동교로32길 19 (연남동) 1층",작당모의,,디저트전문점,0,0,0,0,0,0
189,"서울특별시 마포구 동교로51안길 11 (연남동) 1, 2층",티브커피하우스,,카페,0,0,0,0,0,0
190,"서울특별시 마포구 성미산로 186 (연남동)",연남제비,,돼지고기구이,0,0,0,0,0,0
191,"서울특별시 마포구 양화로21길 15 (동교동) 2층",오이시쿠,,이자카야,0,0,0,0,0,0
192,"서울특별시 마포구 동교로23길 21 (동교동) 윤호빌딩 2층",구뜨커피,,카페,0,0,0,0,0,0
193,"서울특별시 마포구 동교로30길 16 (동교동)",빌라더다이닝,,양식,0,0,0,0,0,0
194,"서울특별시 마포구 월드컵북로4길 43 (동교동)",카페코르,,카페,0,0,0,0,0,0
195,"서울특별시 마포구 동교로38길 5 (연남동) 2층",육미안,,소갈비,0,0,0,0,0,0
196,"서울특별시 마포구 동교로32길 7 (연남동) 4층",영지인,,모던한식,0,0,0,0,0,0
197,"서울특별시 마포구 동교로29길 34 (연남동)",아벡쉐리더파크,,베이커리,0,0,0,0,0,0
198,"서울특별시 마포구 동교로50길 16 (연남동) 파인빌딩",마들젠,,디저트전문점,0,0,0,0,0,0
199,"서울특별시 마포구 성미산로 150 (연남동)",얼스어스,,카페,0,0,0,0,0,0
200,"서울특별시 마포구 양화로19길 22-8 (동교동)",tytd,,"베이커리,카페",0,0,0,0,0,0
201,"서울특별시 마포구 동교로46길 34 (연남동)",디트로이트피지스,,미국식피자,0,0,0,0,0,0
202,"서울특별시 마포구 동교로 277 (연남동) 1층",산볼,,일식덮밥,0,0,0,0,0,0
203,"서울특별시 마포구 동교로46길 13 (연남동) 1층",프랭클린스델리,,"햄버거,샌드위치",0,0,0,0,0,0
204,"서울특별시 마포구 성미산로26길 41 (연남동)",야키토리고꼬연남,,야키토리,0,0,0,0,0,0
205,"서울특별시 마포구 성미산로 163 (연남동) 2층, 3층",연남동와이탑,,양식,0,0,0,0,0,0
