,address,restaurant_name,restaurant_class,menu_tag,blue_ribbon_count,red_ribbon_count,catchTable_review_count,catchTable_review_point,googleMap_review_count,googleMap_review_point,review_count_sum,ratings_mean
96,서울특별시 용산구 녹사평대로 248 (이태원동),내추럴하이,기타,"브런치카페,와인바",0,0,1544,4.6,0,0.0,1544,4.6
97,서울특별시 용산구 이태원로26길 26 (이태원동),라플랑끄,기타,프랑스식,0,0,69,4.7,0,0.0,69,4.7
98,서울특별시 용산구 보광로 126 (이태원동) 2층,로우앤슬로우,중국식,바비큐,0,0,20,3.9,0,0.0,20,3.9
99,서울특별시 용산구 이태원로19길 6 (이태원동) 2층,로즈앤크라운,"외국음식전문점(인도,태국등)",펍,0,0,3,4.8,0,0.0,3,4.8
100,서울특별시 용산구 회나무로13가길 40 (이태원동),마틸다,"외국음식전문점(인도,태국등)",이탈리아식,0,0,139,4.8,0,0.0,139,4.8
101,서울특별시 용산구 이태원로27가길 45 (이태원동),야키도리고우이태원본점,,"이자카야,야키토리",0,0,46,4.5,0,0.0,46,4.5
102,서울특별시 용산구 녹사평대로40나길 9 (이태원동),롸카두들내쉬빌핫치킨,,햄버거,0,0,35,4.8,0,0.0,35,4.8
103,서울특별시 용산구 이태원로20가길 7-5 (이태원동),아노브피자,기타,"피자,파스타",0,0,0,0.0,220,4.5,220,4.5
104,서울특별시 마포구 동교로 267 (연남동),아노브피자,기타,"피자,파스타",0,0,0,0.0,220,4.5,220,4.5
105,서울특별시 용산구 한남대로27가길 32 (한남동) 201호,로기,기타,그릴,0,0,1252,4.7,0,0.0,1252,4.7
106,서울특별시 용산구 한남대로27길 25 (한남동),골든피스,기타,한과,0,0,118,4.8,0,0.0,118,4.8
107,서울특별시 용산구 대사관로31길 29 (한남동),미래회관,한식,돼지고기구이,0,0,522,4.3,0,0.0,522,4.3
108,서울특별시 용산구 한남대로27가길 32 (한남동),부토,,"퓨전한식,바",0,0,296,4.6,0,0.0,296,4.6
109,서울특별시 용산구 대사관로 33 (한남동),아르모니움,기타,이탈리아식,0,0,269,4.5,0,0.0,269,4.5
